"id","age","race","sex","mar","ed","prvarrst","curcrim","crime","yrsent","depart","relyr","relmo","expgrp","sexint","paro","higrade","age1st","numarst","numconv","emp1","emp2","emp3","emp4","emp5","emp6","emp7","emp8","emp9","emp10","emp11","emp12","emp13","emp19","frstarrmo","frstarrday","frstarryr","frstcharge","arr2mo","arr2dy","arr2yr","arr3mo","arr3dy","arr3yr","arr4mo","arr4dy","arr4yr","arr5mo","arr5dy","arr5yr","arr6mo","arr6dy","arr6yr","crimper","crimprop","crimoth","numper","numprop","numoth","white","arstdate","reldate","arrstday","arrest","paroled","married","edcomb","fin","male","type","charge","arrstcount","spellnum","length","arrind","begin","end","prevlngth"
10,34.3,1,1,2,5,NA,71,72,0.5,3,76,5,5,1,1,6,17,6,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,9,6,76,1399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,6093,5965,128,1,1,1,5,0,1,1,13,1,1,128,1,0,128,NA
10,34.3,1,1,2,5,NA,71,72,0.5,3,76,5,5,1,1,6,17,6,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,9,6,76,1399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,6093,5965,128,1,1,1,5,0,1,1,13,1,2,237,0,128,365,128
11,44.2,1,1,2,6,NA,NA,52,0.5,3,76,4,2,1,1,7,20,4,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,NA,5935,365,0,1,1,6,1,1,0,0,0,1,365,0,0,365,NA
19,22.1,2,1,1,8,4,NA,1302,3,1,76,2,2,1,0,9,12,8,4,66,66,66,66,66,66,66,66,66,66,66,66,66,66,5,25,76,1203,7,3,76,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,5989,5875,114,1,0,0,8,1,1,2,12,2,1,114,1,0,114,NA
19,22.1,2,1,1,8,4,NA,1302,3,1,76,2,2,1,0,9,12,8,4,66,66,66,66,66,66,66,66,66,66,66,66,66,66,5,25,76,1203,7,3,76,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,5989,5875,114,1,0,0,8,1,1,2,12,2,2,39,1,114,153,114
19,22.1,2,1,1,8,4,NA,1302,3,1,76,2,2,1,0,9,12,8,4,66,66,66,66,66,66,66,66,66,66,66,66,66,66,5,25,76,1203,7,3,76,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,5989,5875,114,1,0,0,8,1,1,2,12,2,3,212,0,153,365,39
24,30,1,1,4,10,NA,NA,56,0.5,1,76,1,2,1,0,9,16,11,2,1,1,1,1,1,1,1,1,1,33,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,NA,5844,365,0,0,0,10,1,1,0,0,0,1,365,0,0,365,NA
31,35.1,2,1,1,1,NA,NA,53,0.5,1,76,1,1,1,0,1,32,12,12,11,11,11,11,11,11,11,11,11,33,33,11,11,11,8,15,76,2606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6071,5844,227,1,0,0,1,1,1,2,26,1,1,227,1,0,227,NA
31,35.1,2,1,1,1,NA,NA,53,0.5,1,76,1,1,1,0,1,32,12,12,11,11,11,11,11,11,11,11,11,33,33,11,11,11,8,15,76,2606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6071,5844,227,1,0,0,1,1,1,2,26,1,2,138,0,227,365,227
33,23.7,2,1,1,8,NA,24,73,0.5,1,76,1,4,1,0,7,14,5,5,11,11,1,1,1,1,11,11,11,11,11,11,11,11,9,14,76,1315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,6101,5844,257,1,0,0,8,0,1,1,13,1,1,257,1,0,257,NA
